folder,filepath,filename,filesize_bytes,rows,start_date_inferred,end_date_inferred,suspected_incomplete
data\runs\crossref_batches_2015-01-01_to_today,data\runs\crossref_batches_2015-01-01_to_today\crossref_preprints_20150101_20150107.parquet,crossref_preprints_20150101_20150107.parquet,784906,459,,,False
data\runs\crossref_batches_2015-01-01_to_today,data\runs\crossref_batches_2015-01-01_to_today\crossref_preprints_20150108_20150114.parquet,crossref_preprints_20150108_20150114.parquet,880258,349,,,False
data\runs\crossref_batches_2015-01-01_to_today,data\runs\crossref_batches_2015-01-01_to_today\crossref_preprints_20150115_20150121.parquet,crossref_preprints_20150115_20150121.parquet,971140,394,,,False
data\runs\crossref_batches_2015-01-01_to_today,data\runs\crossref_batches_2015-01-01_to_today\crossref_preprints_20150122_20150128.parquet,crossref_preprints_20150122_20150128.parquet,1000279,425,,,False
data\runs\crossref_batches_2015-01-01_to_today,data\runs\crossref_batches_2015-01-01_to_today\crossref_preprints_20150129_20150204.parquet,crossref_preprints_20150129_20150204.parquet,1163321,468,,,False
data\runs\crossref_batches_2015-10-01_to_2025-11-07,data\runs\crossref_batches_2015-10-01_to_2025-11-07\crossref_preprints_20151001_20151007.parquet,crossref_preprints_20151001_20151007.parquet,851715,461,2015-10-01,2025-11-07,False
data\runs\crossref_batches_2015-10-01_to_2025-11-07,data\runs\crossref_batches_2015-10-01_to_2025-11-07\crossref_preprints_20151008_20151014.parquet,crossref_preprints_20151008_20151014.parquet,884131,471,2015-10-01,2025-11-07,False
data\runs\crossref_batches_2015-10-01_to_2025-11-07,data\runs\crossref_batches_2015-10-01_to_2025-11-07\crossref_preprints_20151015_20151021.parquet,crossref_preprints_20151015_20151021.parquet,999901,446,2015-10-01,2025-11-07,False
data\runs\crossref_batches_2015-10-01_to_2025-11-07,data\runs\crossref_batches_2015-10-01_to_2025-11-07\crossref_preprints_20151022_20151028.parquet,crossref_preprints_20151022_20151028.parquet,921507,452,2015-10-01,2025-11-07,False
data\runs\crossref_batches_2015-10-01_to_2025-11-07,data\runs\crossref_batches_2015-10-01_to_2025-11-07\crossref_preprints_20151029_20151104.parquet,crossref_preprints_20151029_20151104.parquet,1278915,500,2015-10-01,2025-11-07,False
data\runs\crossref_batches_2015-10-01_to_2025-11-07,data\runs\crossref_batches_2015-10-01_to_2025-11-07\crossref_preprints_20151105_20151111.parquet,crossref_preprints_20151105_20151111.parquet,1144207,509,2015-10-01,2025-11-07,False
data\runs\crossref_batches_2015-10-01_to_2025-11-07,data\runs\crossref_batches_2015-10-01_to_2025-11-07\crossref_preprints_20151112_20151118.parquet,crossref_preprints_20151112_20151118.parquet,1226968,533,2015-10-01,2025-11-07,False
data\runs\crossref_batches_2015-10-01_to_2025-11-07,data\runs\crossref_batches_2015-10-01_to_2025-11-07\crossref_preprints_20151119_20151125.parquet,crossref_preprints_20151119_20151125.parquet,863223,525,2015-10-01,2025-11-07,False
